Brand,Paddle Name,Shape,Weight,Swing Weight,Twist Weight,Thickness,Amount off,Discount link,Review
11SIX24,Vapor Power 2,Hybrid,8.0,113.77,6.73,16,$10,https://11six24.com/collections/power-2/products/vapor-power-2?sca_ref=10762081.CP7l7DxvM7,https://youtu.be/ffiit6IWsHo
11SIX24,Hurache Power 2,Elongated,8.0,111.87,6.06,16,$10,https://11six24.com/collections/power-2/products/hurache-x-power-2?sca_ref=10762081.CP7l7DxvM7,https://youtu.be/ffiit6IWsHo
11SIX24,Pegasus Power 2,Widebody,8.0,110.07,7.01,16,$10,https://11six24.com/collections/power-2/products/pegasus-power-2?sca_ref=10762081.CP7l7DxvM7,https://youtu.be/ffiit6IWsHo
APL,Starion,Elongated,8.0,116.40,5.93,16,$0,https://aplpros.com/products/apl-dj-young-starion-pro-16mm-pickleball-paddle-carbon-fiber-gen-4-thermoformed-foam-technology?ref=pickleball_playbook,https://youtube.com/shorts/79lOG4-HuqM?feature=share
APL,Ascend,Hybrid,8.2,116.85,5.65,16,$0,https://aplpros.com/products/apl-propluspaddles1?ref=pickleball_playbook,https://youtube.com/shorts/79lOG4-HuqM?feature=share
Avoura,Rhapsody,Hybrid,8.0,104.47,7.33,13,$10,https://www.avourapickleball.com/PLAYBOOK,
Battle Paddles, El Toro,Elongated,7.9,115.73,5.93,16,10%,https://battlepaddlesusa.com?sca_ref=10843522.kInm8z4RAcFM,https://youtu.be/9IdOGtzJoww
Bread & Butter,Shogun,Elongated,8.0,117.53,5.96,16,10%,https://breadbutterpickleballco.sjv.io/9VL5Le,
Bread & Butter,Filth,Elongated,7.9,116.53,5.91,16,10%,https://breadbutterpickleballco.sjv.io/9VL5Le,
Bread & Butter,Fat Boy,Widebody,8.0,109.52,7.39,16,10%,https://breadbutterpickleballco.sjv.io/9VL5Le,
Bread & Butter,Loco,Elongated,7.9,118.20,6.09,16,10%,https://breadbutterpickleballco.sjv.io/9VL5Le,https://youtu.be/fEzgY0ZQGAU
Bread & Butter,Loco,Hybrid,8.2,115.46,6.86,16,10%,https://breadbutterpickleballco.sjv.io/9VL5Le,https://youtu.be/fEzgY0ZQGAU
Bread & Butter,Loco,Widebody,8.1,108.06,7.29,16,10%,https://breadbutterpickleballco.sjv.io/9VL5Le,https://youtu.be/fEzgY0ZQGAU
CRBN,TruFoam Genesis 3,Elongated,8.1,117.75,6.26,14,10%,https://www.crbnpickleball.com/discount/PLAYBOOK,
CRBN,TruFoam Barrage 1,Elongated,8.0,117.97,6.01,14,10%,https://www.crbnpickleball.com/discount/PLAYBOOK,https://youtu.be/XLfM3Z3CKlU
CRBN,TruFoam Barrage 2,Widebody,7.9,108.77,6.88,14,10%,https://www.crbnpickleball.com/discount/PLAYBOOK,https://youtu.be/XLfM3Z3CKlU
Diadem,Edge,Elongated,7.9,116.92,6.19,16,,,
Engage,Alpha Pro,Hybrid,8.0,111.89,6.27,16,10%,https://engagepickleball.com/?aff=601,
